Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment,,,,,
1,1249.69,192,23.1,7663.71,100,500,12.4969,,,,,,
2,2178,2189,96,43.94,13271.64,100,500,21.78,21.89,2,,15.5231,2
3,1069.05,1075,192,20.51,6408,100,500,10.6905,10.75,4,,7.7448,4
4,688.29,697,288,12.73,4117.95,100,500,6.8829,6.97,6,,5.1066,6
5,517.9,524,384,20.48,3091.26,100,500,5.179,5.24,8,,3.8435,8
6,391.82,395,480,7.67,2359.47,100,500,3.9182,3.95,10,,3.005,10
7,325.04,328,576,9.33,1961.77,100,500,3.2504,3.28,12,,2.5041,12
8,271.2,274,672,7.8,1647.22,100,500,2.712,2.74,14,,2.1132,14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,2LM,,,,,,,,,,,
,,1LM,,,,,,,,,,,