Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,773.02,192,15,4628.48,100,500,7.7302,""
2,132.88,1056,3.3,803.57,100,500,1.3288,""
3,149.08,960,3.3,896.94,100,500,1.4908,""
4,162.7,864,3.53,984.66,100,500,1.627,""
5,188.88,768,6.42,1135.53,100,500,1.8888,""
6,212.5,672,4.36,1280.87,100,500,2.125,""
7,250.68,576,5.33,1511.39,100,500,2.5068,""
8,301.32,480,6.22,1806.83,100,500,3.0132,""
9,380.49,384,7.5,2291.14,100,500,3.8049,""
10,507.39,288,9.46,3051.18,100,500,5.0739,""
11,772.11,192,15.02,4626.02,100,500,7.7211,""
12,1557.19,96,30.56,9350.28,100,500,15.5719,""