Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,130.93,1056,2.95,791.41,100,500,1.3093,fully using 22 nodes. (48 cores per node)
2,148.38,960,2.97,894.11,100,500,1.4838,using 20 nodes
3,163.34,864,3.39,986.66,100,500,1.6334,18 nodes
4,187.48,768,3.67,1125.24,100,500,1.8748,16 nodes
5,3263.2,1152,6.44,19265.44,100,500,32.632,"profiling, not a valid result"
6,211.32,672,4.37,1275.6,100,500,2.1132,14
7,250.41,576,5.53,1512.23,100,500,2.5041,12
8,300.5,480,13.59,1817.52,100,500,3.005,10
9,384.35,384,18.48,2325.91,100,500,3.8435,8
10,510.66,288,9.55,3071.35,100,500,5.1066,6
11,774.48,192,14.66,4646.92,100,500,7.7448,4
12,1552.31,96,30.24,9319.65,100,500,15.5231,2